attraction_id,name,country,province,city,location,price,rating
2103,vancouver_island_half_day_whale_and_wildlife_tour,canada,british_columbia,vancouver_island,"{'lat': 48.7403799, 'lng': -123.6191421}",140.7,-1.0
2104,"half-day_whale_watching_(telegraph_cove,_bc)",canada,british_columbia,vancouver_island,"{'lat': 48.4227209, 'lng': -123.3689786}",143.07,-1.0
2105,"sunset_whale_watching_(victoria,_bc)",canada,british_columbia,vancouver_island,"{'lat': 48.4227209, 'lng': -123.3689786}",143.07,-1.0
2106,vip_three_day_whale_watching_sea_kayaking_basilica_is_orleans_private_car_tour,canada,quebec,quebec_city,nil,503.03,-1.0
2107,"vip_two_day_whale_watching,_sea_kayaking,_basilica,_by_private_car_tour",canada,quebec,quebec_city,nil,312.18,-1.0
2108,2_hour_quickie_adventure,canada,nova_scotia,things_to_do_in_earltown,nil,57.5,-1.0
2109,keji_southern_lakes_canoe_trip_-_3_day,canada,nova_scotia,things_to_do_in_earltown,nil,684.25,-1.0
2110,frozen_ocean_canoe_trip_-3_day,canada,nova_scotia,things_to_do_in_earltown,nil,684.25,-1.0
2111,rafting_trip_with_the_family_-_québec_city,canada,quebec,things_to_do_in_stoneham-et-tewkesbury,nil,239.0,-1.0
2112,seals_&_smiles_tour,canada,british_columbia,things_to_do_in_pender_island,"{'lat': 48.8002755, 'lng': -123.3109432}",68.25,-1.0
2113,cabot_trail_and_cape_breton_tour,canada,nova_scotia,halifax_region,nil,-1.0,-1.0
2114,cape_breton_&_newfoundland_tour,canada,nova_scotia,halifax_region,nil,-1.0,-1.0
2115,hiking_and_sea_kayaking_combo_tour,canada,nova_scotia,halifax_region,nil,212.75,-1.0
2116,ucluelet_harbour_kayaking_tour,canada,british_columbia,vancouver_island,"{'lat': 48.936092, 'lng': -125.537252}",89.0,-1.0
2117,revelstoke_rapids,canada,british_columbia,things_to_do_in_revelstoke,"{'lat': 51.002955, 'lng': -118.200382}",124.95,-1.0
2118,river_pirates,canada,british_columbia,things_to_do_in_revelstoke,"{'lat': 51.002955, 'lng': -118.200382}",70.35,-1.0
2119,mont-tremblant_family_ice_fishing,canada,quebec,mont_tremblant,"{'lat': 46.2132909, 'lng': -74.5849902}",245.14,-1.0
2120,kananaskis_river_rafting_adventure,canada,alberta,canadian_rockies,"{'lat': 51.1775076, 'lng': -115.5712711}",105.0,4.5
2121,summer_sunset_whales_and_wildlife_tour_in_vancouver_island,canada,british_columbia,vancouver_island,"{'lat': 48.4265936, 'lng': -123.3709212}",126.95,5.0
2122,rouge_river_classic_whitewater_rafting_package,canada,quebec,montreal,"{'lat': 45.6574531, 'lng': -74.6756539}",79.0,4.0
2123,victoria_and_butchart_gardens_by_helicopter_and_speed_boat,canada,british_columbia,vancouver,"{'lat': 49.284751, 'lng': -123.1394811}",579.0,5.0
2124,three_sisters_sea_kayaking_day_tour,canada,nova_scotia,things_to_do_in_advocate_harbour,"{'lat': 45.3415354, 'lng': -64.7864615}",136.85,5.0
2125,whale_watching_and_butchart_gardens,canada,british_columbia,vancouver_island,"{'lat': 48.4222022, 'lng': -123.3796261}",185.0,-1.0
2126,river_of_golden_dreams_canoe_tour_in_whistler,canada,british_columbia,whistler,"{'lat': 50.1133762, 'lng': -122.954259}",114.45,5.0
2127,summer_whale_watching_on_vancouver_island,canada,british_columbia,vancouver_island,"{'lat': 48.4265936, 'lng': -123.3709212}",145.95,5.0
2128,newfoundland_puffin_and_whale_watch_cruise,canada,newfoundland_and_labrador,things_to_do_in_bay_bulls,nil,72.0,5.0
2129,full-day_thompson_river_paddle_rafting_with_lunch,canada,british_columbia,things_to_do_in_lytton,nil,189.0,5.0
2130,squamish_cheakamus_white-water_rafting,canada,british_columbia,squamish,"{'lat': 49.749151, 'lng': -123.133378}",120.74,5.0
2131,catch_a_wave_rafting_trip_on_the_clearwater_river,canada,british_columbia,kamloops,"{'lat': 51.6451402, 'lng': -120.0732473}",114.45,5.0
2132,4-hour_eagle_viewing_river_float_trip_from_squamish_with_lunch,canada,british_columbia,squamish,"{'lat': 49.749151, 'lng': -123.133378}",125.99,5.0
2133,whistler_half-day_fly_fishing,canada,british_columbia,whistler,"{'lat': 50.322224, 'lng': -122.807193}",208.95,5.0
2134,squamish_elaho_white-water_rafting,canada,british_columbia,squamish,"{'lat': 49.749151, 'lng': -123.133378}",173.24,5.0
2135,sea_safari_tour_from_vancouver,canada,british_columbia,vancouver,nil,97.65,-1.0
2136,"kayak,_wine,_and_cheese_tour",canada,british_columbia,okanagan_valley,"{'lat': 49.501802, 'lng': -119.5907252}",155.75,4.5
2137,3-hour_swartz_bay_kayak_tour_and_restaurant_lunch,canada,british_columbia,vancouver_island,"{'lat': 48.578083, 'lng': -123.466695}",89.6,-1.0
2138,kayak_tour_of_gulf_islands,canada,british_columbia,vancouver_island,"{'lat': 48.578083, 'lng': -123.466695}",72.8,-1.0
2139,spring_season_sport_fishing_adventure_charter_for_salmon_fishing_&_bottom_fish,canada,british_columbia,vancouver,"{'lat': 48.94498, 'lng': -125.553751}",189.0,-1.0
2140,victoria_and_butchart_gardens_by_seaplane_and_speed_boat,canada,british_columbia,vancouver,"{'lat': 49.284751, 'lng': -123.1394811}",489.0,5.0
2141,3-day_grotto_tour_to_bruce_peninsula,canada,ontario,toronto,nil,489.0,-1.0
2142,sunwapta_challenge_whitewater_rafting:_class_iii_rapids,canada,alberta,canadian_rockies,"{'lat': 52.8740887, 'lng': -118.081698}",111.38,5.0
2143,whales_&_fly:_whale_watching_from_vancouver_to_victoria_&_return_seaplane_flight,canada,british_columbia,vancouver,"{'lat': 48.4227209, 'lng': -123.3689786}",447.57,5.0
2144,victoria_wine_and_whales_combo_tour,canada,british_columbia,vancouver_island,"{'lat': 48.4225678, 'lng': -123.3824385}",359.85,5.0
2145,vancouver_snorkel_and_kayak_adventure,canada,british_columbia,vancouver,"{'lat': 49.3738003, 'lng': -123.2738046}",78.75,4.5
2146,trinity_tow_'n'_go_kayak_tour,canada,newfoundland_and_labrador,things_to_do_in_trinity,"{'lat': 48.368514, 'lng': -53.357835}",175.0,-1.0
2147,whitewater_rafting_on_jasper's_fraser_river,canada,alberta,canadian_rockies,"{'lat': 52.8740887, 'lng': -118.081698}",122.09,5.0
2148,victoria_sunset_whale-watching_cruise,canada,british_columbia,vancouver_island,"{'lat': 48.4225678, 'lng': -123.3824385}",140.7,5.0
2149,hell's_gate_full-day_whitewater_rafting_trip_with_lunch,canada,british_columbia,things_to_do_in_lytton,nil,189.0,5.0
2150,kicking_horse_river_rafting_family_adventure_including_bbq_lunch,canada,alberta,canadian_rockies,"{'lat': 51.1772837, 'lng': -115.5727351}",81.9,4.5
2151,elaho_whitewater_experience,canada,british_columbia,squamish,"{'lat': 49.7416552, 'lng': -123.1364209}",187.95,5.0
2152,4_hour_quickie_adventure,canada,nova_scotia,things_to_do_in_earltown,nil,92.0,-1.0
2153,rafting_adventure_on_the_kicking_horse_river,canada,british_columbia,kootenay_rockies,"{'lat': 51.3027849, 'lng': -116.9478043}",109.2,5.0
2154,victoria_marine_wildlife_tour,canada,british_columbia,vancouver_island,"{'lat': 48.4225678, 'lng': -123.3824385}",112.35,5.0
2155,jasper_rafting_trip_on_athabasca_river_mile_5,canada,alberta,canadian_rockies,"{'lat': 52.8753421, 'lng': -118.0806243}",72.45,4.0
2156,nanaimo_whale_watching_in_a_semi-covered_boat,canada,british_columbia,vancouver_island,"{'lat': 49.167386, 'lng': -123.9366418}",148.0,-1.0
2157,vancouver_kayaking_tour,canada,british_columbia,vancouver,"{'lat': 49.27173, 'lng': -123.1366559}",47.9,5.0
2158,3.5-hour_sunwapta_river_rafting_adventure_in_jasper,canada,alberta,canadian_rockies,"{'lat': 52.8753421, 'lng': -118.0806243}",103.95,5.0
2159,niagara_on_the_lake_open-top_jet-boat_ride,canada,ontario,niagara_falls,"{'lat': 43.149939, 'lng': -79.0463155}",79.04,-1.0
2160,montreal_paddleboat_rental,canada,quebec,montreal,"{'lat': 45.5070854, 'lng': -73.5509339}",8.34,2.0
2161,harbour_kayak_tour,canada,newfoundland_and_labrador,things_to_do_in_trinity,"{'lat': 48.368514, 'lng': -53.357835}",145.0,5.0
2162,vancouver_boat_rental_for_up_to_5_people,canada,british_columbia,vancouver,"{'lat': 49.272817, 'lng': -123.1364204}",54.0,5.0
2163,okanagan_jetpack_rental_and_lesson,canada,british_columbia,okanagan_valley,nil,149.0,5.0
2164,whale_watching_marine_wildlife_excursion_by_kayak,canada,newfoundland_and_labrador,things_to_do_in_trinity,"{'lat': 48.368514, 'lng': -53.357835}",155.0,-1.0
2165,tremblant_white_water_rafting_-_full_day_with_transport,canada,quebec,mont_tremblant,"{'lat': 46.2132909, 'lng': -74.5849902}",210.06,-1.0
2166,full-day_mont-tremblant_rouge_river_rafting_tour_with_lunch,canada,quebec,mont_tremblant,"{'lat': 46.2132909, 'lng': -74.5849902}",98.29,5.0
2167,rouge_river_white_water_rafting_-_full_day,canada,quebec,things_to_do_in_mont_tremblant,"{'lat': 46.2132909, 'lng': -74.5849902}",155.14,-1.0
2168,rouge_river_family_rafting,canada,quebec,things_to_do_in_mont_tremblant,"{'lat': 46.2132909, 'lng': -74.5849902}",111.32,-1.0
2169,5_day_broken_islands_kayaking_expedition,canada,british_columbia,vancouver_island,nil,-1.0,-1.0
2170,"skiing_for_beginner,_snow_tubing_or_snowshoeing_tour_from_toronto",canada,ontario,toronto,nil,113.0,-1.0
2171,whitewater_rafting_on_toby_creek,canada,british_columbia,kootenay_rockies,"{'lat': 50.625361, 'lng': -116.067952}",70.35,5.0
